LP;LP;DOORS, The;The Doors;;Rock;Electra;
LP;LP;DR. HOOK;Sometimes ..;;Pop;Capitol;
LP;LP;DUANE, EDDIE;Movin' N' Groov';;Rock'n Roll;LONDON;
LP;LP;DUANE, EDDIE;Twangy Guitar;;Rock'n Roll;RCA;
LP;LP;DUDLEY, DAVE;Greatest Hits;;Country;Polydor;
LP;LP;DUKES, The;...Get The;;Beat;MYSTERY;
LP;LP;DUKES, The;PROMO;;Beat;MYSTERY;
LP;LP;DUTCH SWING COLLEGE;Goes Western;;Dixie;PHILIPS;
LP;LP;DYLAN,BOB;Blood On Tracks;;Songwriter;CBS;
LP;LP;DYLAN,BOB;Greatest Hits;;Songwriter;CBS;
LP;LP;DYLAN,BOB;Greatest Hits  2;;Songwriter;CBS;
LP;LP;DYLAN,BOB;More Greatest Hits;;Songwriter;CBS;
LP;LP;DYLAN,BOB;Tempest;2012;Songwriter;Sony/Columbia;
LP;LP;EAGLES, The;Live     (DLP);;CountryRock;Asylum;
LP;LP;EAGLES, The;On The Border;;CountryRock;Asylum;
LP;LP;EASYBEATS, The;Let's Dance with;;Beat;SUNSET;
LP;LP;EBSTEIN, KATJA;Glashaus;;Schlager;Ariola;
LP;LP;EDMUNDS, DAVE;I Hear You Rockin';;Rock'n'Roll;Arista;
LP;LP;EDMUNDS, DAVE;Repeat when...;;Rock'n'Roll;SWAN;
LP;LP;EDMUNDS, DAVE;Tracks On Wax;;Rock'n'Roll;SWAN;
LP;LP;EDMUNDS, DAVE;Twangin....;;Rock'n'Roll;SWAN;
LP;LP;ELLINGTON, DUKE;At The Cotton Club;;Jazz;RCA/CAMDEN;
LP;LP;ELO;Greatest Hits;;Rock;EPIC;
LP;LP;ELTON JOHN;Biggest;;Rock;Metronom;
LP;LP;ELTON JOHN;Don't Shoot Me..;;Rock;DJM;
LP;LP;ELTON JOHN / LEON RUSSEL;The Union  (DLP);;BluesRock;Mercury;
LP;LP;ELY, JOE;Country Album;77;Country;MCA;
LP;LP;EMERSON, LAKE & PALMER;Pictures At An Ex.;;FolkRock;Manticore;
LP;LP;ENGELBERT;Die Grossen Erfolge;;Schlager;Decca;
LP;LP;ENGELBERT;My Famous Songs;;Schlager;Decca;
LP;LP;ERINNERN Sie Sich?;Gassenhauer;;Politik;Philips;
LP;LP;EVANS, RUSTY;Songs O.Our Land;;Folk;MVM;
LP;LP;EVERLY  BROTHERS, The;Great Country Hits;;Country;MIDI;
LP;LP;EVERLY  BROTHERS, The;Stories We Could Tell;;Country;RCA;
LP;LP;EVERLY BROTHER, The;DLP;;Pop;TIME;
LP;LP;EVERLY BROTHER, The;Golden Hits;;Pop;WARNER;
LP;LP;EVERLY BROTHER, The;The Eve. Broth.;;Pop;TELDEC;
LP;LP;EVERLY BROTHER, The;Very Best Of...;;Pop;WARNER;
LP;LP;FABULOUS THUNDERBIRD, The;Girls Go Wild;;Bluesrock;Chrysalis;
LP;LP;FAIRGROUND ATTRACTION;The First of..,;;Pop;RCA;
LP;LP;FAITHFULL, MARIANNE;Broken English;;Pop;Island;
LP;LP;FAITHFULL, MARIANNE;Dangerous....;;Pop;Island;
LP;LP;FEHLFARBEN;Monarchie & Alltag;;Rock;EMI;
LP;LP;FELTS, NARVEL;Inside Love;78;Country;abc;
LP;LP;FENDER, FREDDY;Best Of ....;;Country;DOT;
LP;LP;FILM – ERFOLGE;Div. Couplets;;Politik;Ariola;
LP;LP;FITZGERALD, ELLA;Fire and Mellow;;Jazz;Pablo;
LP;LP;FLASH CADILLAC;Sons of the Beach;;Pop;PRIVAT;
LP;LP;FLEETWOOD MAC;Best Of...;;BluesRock;CBS;
LP;LP;FLEETWOOD MAC;Live     (DLP);;BluesRock;Warner Broth.;
LP;LP;FLEETWOOD MAC;Mirage;;BluesRock;Warner Broth.;
LP;LP;FLEETWOOD MAC;Then Play On;;BluesRock;MIDI;
LP;LP;FLOOR IS MADE OF LAVA, The  ;How At the Moon;10;Card, Autogramm;Target;
LP;LP;FOGELBERG, DAN;The Innocent Age;81;CountryPoet;EPIC;
LP;LP;FOUR SEASONS, The;Gold Vault of Hits;;ItaloPop;PHILIPS;
LP;LP;FOUR SEASONS, The;Seasoned Hits;;ItaloPop;FONTANA;
LP;LP;FOUR TOPS, The;Best of ....;;Soul;TAMLA MOT.;
LP;LP;FRANCIS, CONNIE;Very Best Of...;;HighSchool;MGM;
LP;LP;FRANKLIN, ARETHA;Star Collection;;Soul;MIDI;
LP;LP;FREDDY;Auf Hoher See;;Schlager;Polydor;
LP;LP;FULLER, BOBBY (FOUR) The;I Fought The Law;;BeatRock;LINE;
LP;LP;GABRIEL, GUNTER;Gesucht;;Country;HANSA;
LP;LP;GABRIEL, GUNTER;Starke Songs;;Country;HANSA;
LP;LP;GAYLE, CRYSTAL;Miss Mississippi;;Country;Columbia;
LP;LP;GENESIS;Nursery Cryms;;ArtRock;Philips;
LP;LP;GENESIS;Trespass;;ArtRock;Charisma;
LP;LP;GENTRY / CAMPBELL;Sunday Mornin';;Country;Elektrola;
LP;LP;GERRY & PACEMAKERS, The;Best of ....;;SoftBeat;EMI;
LP;LP;GETZ / GILBERTO;Gilberto & Getz;;LatinJazz;Verve;
LP;LP;GiBSON, DON;GAS;;Country;MGM;
LP;LP;GiBSON, DON;I'm All Wrapped...;;Country;ABC;
LP;LP;GiBSON, DON;Look Who's Blue;;Country;Hickory;
LP;LP;GiBSON, DON;Snap Your Fingers;73;Country;London;
LP;LP;GILMER, JIMMY;Sugar Shack;;Pop;DOT;
LP;LP;GLENNIS;My Guy;;Soul;Lenco;
LP;LP;GOLDEN EARRING;Picture;;Rock;EXCLUSIV;
LP;LP;GOLDSBORO, BOBBY;Voice Of Honey;;Pop;Sunset;
LP;LP;GORDON, ROBERT;Are You Gonna..;;Country;RCA;
LP;LP;GORDON, ROBERT;Fresh Fish Special;;Country;Private;
LP;LP;GOTT, KAREL;Country Album;;Country;SOPRAPHON;
LP;LP;GRAY, JERRY;„Schellack“;;Jazz;Brunswick;
LP;LP;GRÖNEMEYER, HERBERT; 4630 Bochum;;Pop;EMI;
LP;LP;HAENNING,GITTE;Berührungen;;Schlager;Global;
LP;LP;HAGGARD, MERLE;Songs I'll Always...;;Country;Capitol;
LP;LP;HAGGARD, MERLE;Songwriter;;Country;MCA;
LP;LP;HAIR;Rock – Musical;;FolkRock;RCA;
LP;LP;HALEY, BILL;Golden Favorites;;Rock'n Roll;MCA CORAL;
LP;LP;HALEY, BILL;R & R Forever;;Rock'n Roll;MIDI;
LP;LP;HALEY, BILL;Rockin';;Rock'n Roll;PICKWICK;
LP;LP;HAMILTON  IV, GEORGE;Song's Winter's Ni.;;Country;RONCO;
LP;LP;HAMILTON IV / BRABEC;Country Beat;;Country;Supraphon;
LP;LP;HANCOCK, BUTCH   DLP;Own & Own;89;Folk & Rock;DEMON;
LP;LP;HARDY, FRANCOISE;Francoise Hardy;66;Chanson;Vogue;
LP;LP;HARRIS, EMMYLOU;Roses In The Snow;80;Country;WEA;
LP;LP;HART, FREDDIE;The Pleasure's Been All Mine;77;Country;Capitol;
LP;LP;HARVEY, ALEX BAND;Next....;;Rock;Vertigo;
LP;LP;HAWKIN, EDWIN;It's A Happy Day;;Gospel;Buddah;
LP;LP;HAWKINS, RONNIE;„Rock Story“ 2;;Rock'n Roll;BELLAPH.;
LP;LP;HEALEY, JEFF;Feel This;;Bluesrock;Arista;
LP;LP;HEALEY, JEFF;Hell To Pay;;Bluesrock;Arista;
LP;LP;HEALEY, JEFF;See The Light;;Bluesrock;Arista;
LP;LP;HEINRICH, ROLAND;Lichterloh;;Folk;Agrar;
LP;LP;HERMAN'S HERMITS;Blaze;;Beat;MGM;
LP;LP;HERMAN'S HERMITS;Greatest Hits;;Beat;FUN;
LP;LP;HERMAN'S HERMITS;H H;;Beat;COLUMBIA;
LP;LP;HOFFMANN, KLAUS;Was fang ich an ?;;Politik;RCA;
LP;LP;HOFMANN, PETER;Rock Classics;;Pop;CBS;
LP;LP;HOLE, DAVE;Short Fuse Blues;;Bluesrock;Provogue;
LP;LP;HOLIDAY, BILLIE;Lady Sings Blues;;Blues;Metro;
LP;LP;HOLLIES, The;The Fantastic;;Beat;POLYDOR;
LP;LP;HOLLIES, The;The Hollies;;Beat;REGAL;
LP;LP;HOLLY, BUDDY;20 Größten Hits;;Rock'n Roll;ARCADE;
LP;LP;HOLLY, BUDDY;DLP;;Rock'n Roll;TIME;
LP;LP;HOLLY, BUDDY;Gold. Favorites;;Rock'n Roll;MCA;
LP;LP;HOLLY, BUDDY;Good Rockin' Tonight;;Rock'n Roll;CORAL;
LP;LP;HOLLY, BUDDY;Hit Singles Coll.;;Rock'n Roll;MCA;
LP;LP;HOLLY, BUDDY;Legend Vol. 2;;Rock'n Roll;CORAL;
LP;LP;HOLLY, BUDDY;Live „Unreleasd“;;Rock'n Roll;CRICKET;
LP;LP;HOLLY, BUDDY;Nashville Sess.;;Rock'n Roll;MCA;
LP;LP;HONEY DRIPPERS;Volume One;;Bluesrock;Esparanza;
LP;LP;HONEY DRIPPERS, The;Volume One;;BluesRock;Esparanza;
LP;LP;HOOKER, JOHN LEE;Blues Before Sun..;;Blues;Tobacco R.;
LP;LP;HORTON, JOHNNY;The Fantastic;;Country;Bear Family;
LP;LP;HORTON, JOHNNY;Greatest Hits;;Country;Columbia;
LP;LP;HORTON, JOHNNY;Superstar;73;DLP;CBS;
LP;LP;HOUSTON, WHITNEY;Whitney;87;SoulPop;Arista;
LP;LP;HOUSTON, WHITNEY;Whitney Huston;85;SoulPop;Arista;
LP;LP;HYLAND, BRIAN;Original Favorites;;HighSchool;MCA;
LP;LP;IGLESIAS, JULIO;1100 Bel Air Place;84;Pop;CBS;
LP;LP;IGLESIAS, JULIO;Un Canto Agalicia;;Pop;Philips;
LP;LP;IT'S A BEAUTIFUL DAY;It's A Beautiful Day;;SoftRock;CBS;
LP;LP;JACKSON, JOE;Jumpin' Jive;;Jazz;A&M;
LP;LP;JACKSON, MICHAEL;Thriller;;Pop;EPIC;
LP;LP;JACKSON, WANDA;Rockin' With Wanda;60;Rock'n Roll;RUMBLE;
LP;LP;JAN & DEAN;Very Best of ...1;;SurfBeat;UNITED ART.;
LP;LP;JARREAU, AL;Breakin' Away;;Jazz;Warner Bros.;
LP;LP;JAY & AMERICANS, The;Greatest Hits;;US Beat;UNITED ART.;
LP;LP;JAY & AMERICANS, The;Wax Museum;;US Beat;UNITED ART.;
LP;LP;JENNINGS, WAYLON;Abilene;;Country;SUCCES;
LP;LP;JENNINGS, WAYLON;Greatest Hits;;Country;RCA;
LP;LP;JETHRO TULL;Aqualung;;Rock;Chrysalis;
