CD_SAMPLER;CD;Burroughs Group, Clark;Can't Wait Too Long;Jazz Portrait;;;Jazz;
CD_SAMPLER;CD;Burroughs Group, Clark;I Went To Sleep;Jazz Portrait;;;Jazz;
CD_SAMPLER;CD;Burroughs Group, Clark;Surf's Up;Jazz Portrait;;;Jazz;
CD_SAMPLER;CD;Butgher, Jon;Crossfire;Hats Off Stevie Ray;;;Bluesrock;
CD_SAMPLER;CD;Butthole  Surfers;Summer in the City;MOM 3;;;Pop;
CD_SAMPLER;CD;Byrds, The;All I Really want to Do;LEGENDARY ROCK (Coll.);2;65;ROCK;
CD_SAMPLER;CD;Byrds, The;Chesnut Mare;ROCK GROUPS (Collect.);2;71;ROCK;
CD_SAMPLER;CD;Byrds, The;Turn! Turn! Turn!;ROCK STARS (Collection);1;65;ROCK;
CD_SAMPLER;CD;Bystanders, The;Little Girl I Once Knew, The;Dumb;;;Surf;
CD_SAMPLER;CD;Cadets Featuring Eileen, The & Noel;Chapel Of Love;Dumb;;;Surf;
CD_SAMPLER;CD;Cale, J.J.;Cocaine;NIGHT ROCK (Collection);1;76;ROCK;
CD_SAMPLER;CD;Calexico;Quattro;Hitze;;;Blues;
CD_SAMPLER;CD;Calvert, Eddie;Oh Mein Papa;Millennium;2;53;Pop;
CD_SAMPLER;CD;Campbell, Glen;Gentle On My Mind;Country Gold;;;Country;
CD_SAMPLER;CD;Campbell, Glen;God Only Knows;Covered;;;Surf;
CD_SAMPLER;CD;Campbell, Glen;Guess I'm Dumb;Brian Wilson 18;;;Surf;
CD_SAMPLER;CD;Campbell, Glen;Guess I'm Dumb;Pet Projects;;65;Surf;
CD_SAMPLER;CD;Campbell, Kate;Add Some Music To Your Day;Making God Smile;;2002;;
CD_SAMPLER;CD;Camping;Busy Doin' Nothin';Caroline Now!;;;Jazz;
CD_SAMPLER;CD;Candela Azul;Juegalo;Chart;;;;
CD_SAMPLER;CD;Canned Heat;Let's work Together;LEGENDARY ROCK (Coll.);2;70;ROCK;
CD_SAMPLER;CD;Cantuaria, Vinicius;Cubanos Pestizos;Maryam;;;Welt;
CD_SAMPLER;CD;Cargill, Henson;Skip A Rope;Country Gold;;;Country;
CD_SAMPLER;CD;Carlton, Larry;I Just Wasn't Made For These Times;Jazz Portrait;;;Instr.;
CD_SAMPLER;CD;Carmen, Eric;All By Myself;NIGHT ROCK (Collection);1;76;ROCK;
CD_SAMPLER;CD;Carnes, Kim;Bette Davis Eyes;NIGHT ROCK (Collection);2;81;ROCK;
CD_SAMPLER;CD;Carrington, Curtis;Timber;GEE Story;2;;R & B;
CD_SAMPLER;CD;Cars, The;Best Friend's Girl, The;ROCK GROUPS (Collect.);2;78;ROCK;
CD_SAMPLER;CD;Cars, The;Drive;NIGHT ROCK (Collection);2;84;ROCK;
CD_SAMPLER;CD;Cars, The;Let's Go;SOFT ROCK  (Collection);1;79;ROCK;
CD_SAMPLER;CD;Carter, Aaron;Surfin' USA;Chart;;;Surf;
CD_SAMPLER;CD;Cash, Johnny;Ballad of A Teenage Queen;SUN Story;;57;R&R;
CD_SAMPLER;CD;Cash, Johnny;Besser so, Jenny-Jo;Cash / Gabriel;;65;Country;
CD_SAMPLER;CD;Cash, Johnny;El Matador;Cash / Gabriel;;95;Spanisch;
CD_SAMPLER;CD;Cash, Johnny;Fuego D'Amor;Cash / Gabriel;;63;Spanisch;
CD_SAMPLER;CD;Cash, Johnny;I Walk the Line;Country Gold;;;Country;
CD_SAMPLER;CD;Cash, Johnny;I Walk the Line;SUN Story;;56;R&R;
CD_SAMPLER;CD;Cash, Johnny;In Virginia;Cash / Gabriel;;65;Country;
CD_SAMPLER;CD;Cash, Johnny;Kleine Rosmarie;Cash / Gabriel;;65;Country;
CD_SAMPLER;CD;Cash, Johnny;Man In Black;Cash / Gabriel;;71;Country;
CD_SAMPLER;CD;Cash, Johnny;Viel zu spät;Cash / Gabriel;;78;Country;
CD_SAMPLER;CD;Cash, Johnny;Wer kennt den Weg;1000 Nadelstiche;;65;Country;
CD_SAMPLER;CD;Cash, Johnny;Wer kennt den Weg;Cash / Gabriel;;65;Country;
CD_SAMPLER;CD;Cash, Johnny;Wo ist zuhause, Mama;Cash / Gabriel;;78;Country;
CD_SAMPLER;CD;Castells, The;I Do;Brian Wilson 17;;;Surf;
CD_SAMPLER;CD;Cavanaugh, David;Hummeltwist;1000 Nadelstiche;;64;Pop;
CD_SAMPLER;CD;Caymmi, Dori;Caroline No;Jazz Portrait;;;Jazz;
CD_SAMPLER;CD;Chaffin, Ernie;Feelin' Low;SUN Story;;57;R&R;
CD_SAMPLER;CD;Challengers, The;Mr. Moto;Surfing America;;;Surf;
CD_SAMPLER;CD;Chantays, The;Pipeline;Surfin' USA;;63;Surf;
CD_SAMPLER;CD;Cherry, Don;Band of Gold;Pop Radio;;1950;Jazz;
CD_SAMPLER;CD;Chicago;Hard to Say I'm Sorry;NIGHT ROCK (Collection);1;82;ROCK;
CD_SAMPLER;CD;Chilton, Alex;I Wanna Pick You Up;Caroline Now!;;;Jazz;
CD_SAMPLER;CD;Chordettes, The;Mister Sandman;Millennium;2;54;Pop;
CD_SAMPLER;CD;Christy, June;My Heart Belongs to only You;Millennium;2;53;Pop;
CD_SAMPLER;CD;Clapton, Eric;I Shot the Sheriff;LEGENDARY ROCK (Coll.);1;82;ROCK;
CD_SAMPLER;CD;Clapton, Eric;Lay Down Sally;SOFT ROCK  (Collection);2;77;ROCK;
CD_SAMPLER;CD;Clapton, Eric;Promises;ROCK STARS (Collection);2;78;ROCK;
